,film_title,film_nominations,film_awards,film_best_picture
0,Spotlight,6,2,1
1,Mad Max: Fury Road,10,6,0
2,The Revenant,12,3,0
3,Bridge of Spies,6,1,0
4,The Big Short,5,1,0
5,The Danish Girl,4,1,0
6,Room,4,1,0
7,Ex Machina,2,1,0
8,The Hateful Eight,2,1,0
9,Inside Out,2,1,0
10,Amy,1,1,0
11,Bear Story,1,1,0
12,A Girl in the River: The Price of Forgiveness,1,1,0
13,Son of Saul,1,1,0
14,Spectre,1,1,0
15,Stutterer,1,1,0
16,Birdman,9,4,1
17,The Grand Budapest Hotel,9,4,0
18,Whiplash,5,3,0
19,The Imitation Game,8,1,0
20,American Sniper,6,1,0
21,Boyhood,6,1,0
22,Interstellar,5,1,0
23,The Theory of Everything,5,1,0
24,Ida,2,1,0
25,Selma,2,1,0
26,Citizenfour,1,1,0
27,Big Hero 6,1,1,0
28,Crisis Hotline: Veterans Press 1,1,1,0
29,The Phone Call,1,1,0
30,Still Alice,1,1,0
31,Feast,1,1,0
32,12 Years a Slave,9,3,1
33,Gravity,10,7,0
34,Dallas Buyers Club,6,3,0
35,Frozen,2,2,0
36,The Great Gatsby,2,2,0
37,Her,5,1,0
38,Blue Jasmine,3,1,0
39,Mr Hublot,1,1,0
40,The Lady in Number 6: Music Saved My Life,1,1,0
41,Helium,1,1,0
42,The Great Beauty,1,1,0
43,20 Feet from Stardom,1,1,0
44,Argo,7,3,1
45,Life of Pi,11,4,0
46,Les Misérables,8,3,0
47,Lincoln,12,2,0
48,Django Unchained,5,2,0
49,Skyfall,5,2,0
50,Silver Linings Playbook,8,1,0
51,Zero Dark Thirty,5,1,0
52,Amour,5,1,0
53,Anna Karenina,4,1,0
54,Paperman,1,1,0
55,Brave,1,1,0
56,Searching for Sugar Man,1,1,0
57,Inocente,1,1,0
58,Curfew,1,1,0
59,The Artist,10,5,1
60,Hugo,11,5,0
61,The Iron Lady,2,2,0
62,The Descendants,5,1,0
63,The Girl with the Dragon Tattoo,5,1,0
64,Midnight in Paris,4,1,0
65,The Help,4,1,0
66,A Separation,2,1,0
67,The Fantastic Flying Books of Mr. Morris Lessmore,1,1,0
68,The Shore,1,1,0
69,Undefeated,1,1,0
70,The Muppets,1,1,0
71,Saving Face,1,1,0
72,Beginners,1,1,0
73,Rango,1,1,0
74,The King's Speech,12,4,1
75,Inception,8,4,0
76,The Social Network,8,3,0
77,The Fighter,7,2,0
78,Toy Story 3,5,2,0
79,Alice in Wonderland,3,2,0
80,Black Swan,5,1,0
81,In a Better World,1,1,0
82,The Lost Thing,1,1,0
83,God of Love,1,1,0
84,The Wolfman,1,1,0
85,Strangers No More,1,1,0
86,Inside Job,1,1,0
